ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.XUI_Simulation	xui-simulation	1678704746223	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678705047215	1678705047215
REQUEST	2	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName Redirect 1	1678705258576	1678705258608	OK	 
GROUP	2	PRL_CitizenC100_050_CaseName	1678705258503	1678705258692	155	OK
REQUEST	1	PRL_CitizenC100_440_ApplicantContactPreference	PRL_CitizenC100_440_005_ApplicantContactPreference	1678705259503	1678705259545	OK	 
REQUEST	1	PRL_CitizenC100_440_ApplicantContactPreference	PRL_CitizenC100_440_005_ApplicantContactPreference Redirect 1	1678705259552	1678705259674	OK	 
GROUP	1	PRL_CitizenC100_440_ApplicantContactPreference	1678705259495	1678705259760	246	OK
REQUEST	2	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode	1678705262028	1678705262071	OK	 
REQUEST	2	PRL_CitizenC100_060_ChildrenPostCode	PRL_CitizenC100_060_005_ChildrenPostCode Redirect 1	1678705262081	1678705262123	OK	 
GROUP	2	PRL_CitizenC100_060_ChildrenPostCode	1678705262024	1678705262198	146	OK
REQUEST	1	PRL_CitizenC100_450_RespondentName	PRL_CitizenC100_450_005_RespondentName	1678705264258	1678705264294	OK	 
GROUP	1	PRL_CitizenC100_450_RespondentName	1678705264254	1678705264298	36	OK
REQUEST	2	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement	1678705266148	1678705266185	OK	 
REQUEST	2	PRL_CitizenC100_070_WrittenAgreement	PRL_CitizenC100_070_005_WrittenAgreement Redirect 1	1678705266189	1678705266222	OK	 
GROUP	2	PRL_CitizenC100_070_WrittenAgreement	1678705266143	1678705266284	124	OK
REQUEST	1	PRL_CitizenC100_460_RespondentNameRedirect	PRL_CitizenC100_460_005_RespondentNameRedirect	1678705267997	1678705268079	OK	 
GROUP	1	PRL_CitizenC100_460_RespondentNameRedirect	1678705267995	1678705268169	163	OK
REQUEST	2	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt	1678705269324	1678705269358	OK	 
REQUEST	2	PRL_CitizenC100_080_BeforeCourt	PRL_CitizenC100_080_005_BeforeCourt Redirect 1	1678705269359	1678705269401	OK	 
GROUP	2	PRL_CitizenC100_080_BeforeCourt	1678705269324	1678705269460	133	OK
REQUEST	1	PRL_CitizenC100_470_RespondentDetails	PRL_CitizenC100_470_005_RespondentDetails	1678705271975	1678705272013	OK	 
REQUEST	1	PRL_CitizenC100_470_RespondentDetails	PRL_CitizenC100_470_005_RespondentDetails Redirect 1	1678705272015	1678705272076	OK	 
GROUP	1	PRL_CitizenC100_470_RespondentDetails	1678705271973	1678705272310	330	OK
REQUEST	2	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement	1678705273805	1678705273840	OK	 
REQUEST	2	PRL_CitizenC100_090_ReachAgreement	PRL_CitizenC100_090_005_ReachAgreement Redirect 1	1678705273842	1678705273873	OK	 
GROUP	2	PRL_CitizenC100_090_ReachAgreement	1678705273804	1678705273931	118	OK
REQUEST	1	PRL_CitizenC100_480_RespondentRelationship	PRL_CitizenC100_480_005_RespondentRelationship	1678705276715	1678705276752	OK	 
REQUEST	1	PRL_CitizenC100_480_RespondentRelationship	PRL_CitizenC100_480_005_RespondentRelationship Redirect 1	1678705276760	1678705276906	OK	 
GROUP	1	PRL_CitizenC100_480_RespondentRelationship	1678705276704	1678705276968	241	OK
REQUEST	2	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep	1678705277629	1678705277668	OK	 
REQUEST	2	PRL_CitizenC100_100_LegalRep	PRL_CitizenC100_100_005_LegalRep Redirect 1	1678705277673	1678705277708	OK	 
GROUP	2	PRL_CitizenC100_100_LegalRep	1678705277626	1678705277815	162	OK
REQUEST	2	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt	1678705281289	1678705281326	OK	 
REQUEST	2	PRL_CitizenC100_110_PermissionFromCourt	PRL_CitizenC100_110_005_PermissionFromCourt Redirect 1	1678705281333	1678705281377	OK	 
GROUP	2	PRL_CitizenC100_110_PermissionFromCourt	1678705281285	1678705281449	137	OK
REQUEST	1	PRL_CitizenC100_490_RespondentPostcode	PRL_CitizenC100_490_005_RespondentPostcode	1678705281071	1678705281613	OK	 
REQUEST	1	PRL_CitizenC100_490_RespondentPostcode	PRL_CitizenC100_490_005_RespondentPostcode Redirect 1	1678705281614	1678705281695	OK	 
GROUP	1	PRL_CitizenC100_490_RespondentPostcode	1678705281066	1678705281759	680	OK
REQUEST	2	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt	1678705285338	1678705285393	OK	 
REQUEST	2	PRL_CitizenC100_120_WhyPermissionFromCourt	PRL_CitizenC100_120_005_WhyPermissionFromCourt Redirect 1	1678705285400	1678705285445	OK	 
GROUP	2	PRL_CitizenC100_120_WhyPermissionFromCourt	1678705285314	1678705285518	157	OK
REQUEST	1	PRL_CitizenC100_500_RespondentSelectAddress	PRL_CitizenC100_500_005_RespondentSelectAddress	1678705286610	1678705286652	OK	 
REQUEST	1	PRL_CitizenC100_500_RespondentSelectAddress	PRL_CitizenC100_500_005_RespondentSelectAddress Redirect 1	1678705286661	1678705286750	OK	 
GROUP	1	PRL_CitizenC100_500_RespondentSelectAddress	1678705286604	1678705286826	197	OK
REQUEST	2	PRL_CitizenC100_130_WhyCourtShouldGrant	PRL_CitizenC100_130_005_WhyCourtShouldGrant	1678705289719	1678705289762	OK	 
